"lratio"	"variance"	"var_hat_vk"	"n.spectra"	"n.na1"	"n.na2"	"p.value.rat"	"p.value.sample"	"p.value"	"is.significant"	"ac"	"r1"	"r2"	"class1"	"class2"	"zscore"
"302"	0.0106956615971738	0.0701482642035923	1.52995662862449e-14	2	0	0	0.483893868995381	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"127"	"126"	"127"	0.153866746885574
"1061"	-0.0463017116538128	0.0701197551347202	2.95541739877689e-13	2	0	0	0.430596975710755	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"128"	"126"	"128"	-0.25019019752232
"1820"	-0.0300735064845617	0.0701169993889603	2.1066077489084e-15	2	0	0	0.454788424733894	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"129"	"126"	"129"	-0.135147720651712
"2579"	0.0662339284863525	0.0701184745249386	1.76737328303723e-13	2	0	0	0.401243741842672	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"130"	"126"	"130"	0.547580020620749
"3338"	0.127509176403274	0.0701326123179259	4.76852612692097e-12	2	0	0	0.315086442571985	NA	1	0	"A0A075B5L8, A0A075B5M4, A0A0A6YYE5, A0A0A6YYE7, A0A0B4J1I3"	"126"	"131"	"126"	"131"	0.981963011081087
"303"	0.0990834638463332	0.125586688171548	Inf	1	0	0	0.389894127715856	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"127"	"126"	"127"	0.780451855333642
"1062"	-0.0580792203503799	0.125446060636067	Inf	1	0	0	0.434873238813273	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"128"	"126"	"128"	-0.333681486773793
"1821"	-0.00902655106276384	0.125343210432903	Inf	1	0	0	0.48982968387634	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"129"	"126"	"129"	0.0140550936494462
"2580"	0.295061878242747	0.12509312261851	Inf	1	0	0	0.202069968214541	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"130"	"126"	"130"	2.16975165590907
"3339"	0.306275278272181	0.125240469477809	Inf	1	0	0	0.193397226435993	NA	1	0	"A0A075B5M7, A0A0B4J1J1, A0A0B4J1J2, A0A0G2JDV4"	"126"	"131"	"126"	"131"	2.2492439534289
"304"	-0.0797560599330396	0.117328456525986	Inf	1	0	0	0.407941905006327	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"127"	"126"	"127"	-0.487349578242165
"1063"	-0.168108885568672	0.117313889426241	Inf	1	0	0	0.311779399211075	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"128"	"126"	"128"	-1.11368673590265
"1822"	-0.139557799206881	0.117311067271832	Inf	1	0	0	0.341835208056913	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"129"	"126"	"129"	-0.911286799609601
"2581"	-0.234343884713681	0.1173400791657	Inf	1	0	0	0.24695061710571	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"130"	"126"	"130"	-1.58322962605555
"3340"	-0.225987841070676	0.117379500745436	Inf	1	0	0	0.254751232594213	NA	1	0	"A0A075B5M7, A0A0G2JDV4"	"126"	"131"	"126"	"131"	-1.52399325656772
"305"	-0.00082498265083597	0.117651629890141	Inf	1	0	0	0.49904047678066	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"127"	"126"	"127"	0.0721963812713019
"1064"	-0.0297968319386666	0.117615666586629	Inf	1	0	0	0.465382041869601	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"128"	"126"	"128"	-0.133186362342838
"1823"	-0.0444550015097009	0.117617671028945	Inf	1	0	0	0.448432084317973	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"129"	"126"	"129"	-0.237098786190939
"2582"	0.135569407759955	0.117608032144061	Inf	1	0	0	0.346305244394273	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"130"	"126"	"130"	1.03910235395676
"3341"	0.322466642321527	0.117603311032538	Inf	1	0	0	0.17352708403781	NA	1	0	"A0A075B5N3, A0A0G2JE47"	"126"	"131"	"126"	"131"	2.3640252619423
"306"	0.0333102244900717	0.0717639094846903	7.20141133949545e-08	2	0	0	0.450521491511116	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"127"	"126"	"127"	0.31418240110682
"1065"	-0.151726452135743	0.0718213889375827	7.1033247895035e-08	2	0	0	0.285644627086535	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"128"	"126"	"128"	-0.997550927929074
"1824"	-0.0751271949340842	0.118383808646063	Inf	1	0	0	0.413578636182601	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"129"	"126"	"129"	-0.45453534592099
"2583"	0.462885848696039	0.0715892779101193	1.22076673687354e-06	2	0	0	0.0418137819300141	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"130"	"126"	"130"	3.35946333615013
"3342"	0.551761357302014	0.148541498260397	1.19968643187052e-05	2	0	0	0.0761264786348837	NA	1	0	"A0A075B5N3, A0A0G2JE47, A0A0G2JFN8, A0A140T8M4"	"126"	"131"	"126"	"131"	3.98950581691315
"307"	0.0608883533669852	0.069980007220605	1.10052485894132e-11	2	0	0	0.408980140993293	NA	1	0	"A0A075B5N4, A0A0G2JF28, A0A0G2JFN8, A0A140T8M3, A0A140T8M4, A0A140T8N5, A0A140T8N7, A0A140T8P7"	"126"	"127"	"126"	"127"	0.509684997997106
"1066"	0.115502423507964	0.0699572098477207	4.82184500064901e-11	2	0	0	0.331167504119979	NA	1	0	"A0A075B5N4, A0A0G2JF28, A0A0G2JFN8, A0A140T8M3, A0A140T8M4, A0A140T8N5, A0A140T8N7, A0A140T8P7"	"126"	"128"	"126"	"128"	0.896846599386521
"1825"	0.0457019920119901	0.0699617325836562	9.75217398907946e-11	2	0	0	0.431410399331999	NA	1	0	"A0A075B5N4, A0A0G2JF28, A0A0G2JFN8, A0A140T8M3, A0A140T8M4, A0A140T8N5, A0A140T8N7, A0A140T8P7"	"126"	"129"	"126"	"129"	0.402028198818781
"2584"	0.547818393578929	0.0699486443136971	9.46106454463496e-13	2	0	0	0.0191645040526214	NA	1	0	"A0A075B5N4, A0A0G2JF28, A0A0G2JFN8, A0A140T8M3, A0A140T8M4, A0A140T8N5, A0A140T8N7, A0A140T8P7"	"126"	"130"	"126"	"130"	3.96155396960879
"3343"	0.563502791804067	0.0699503775555877	2.1047697785523e-13	2	0	0	0.0165612331965396	NA	1	0	"A0A075B5N4, A0A0G2JF28, A0A0G2JFN8, A0A140T8M3, A0A140T8M4, A0A140T8N5, A0A140T8N7, A0A140T8P7"	"126"	"131"	"126"	"131"	4.07274137457603
"308"	-0.0240142968465689	0.117721080860199	Inf	1	0	0	0.472100375873322	NA	1	0	"A0A075B5N7, A0A0G2JGY3, A0A140T8M5, A0A140T8N5, A0A140T8N7, A0A140T8P1, A0A140T8Q3, P01633"	"126"	"127"	"126"	"127"	-0.0921937108050945
"1067"	-0.135856971403007	0.117694000726531	Inf	1	0	0	0.346049292030448	NA	1	0	"A0A075B5N7, A0A0G2JGY3, A0A140T8M5, A0A140T8N5, A0A140T8N7, A0A140T8P1, A0A140T8Q3, P01633"	"126"	"128"	"126"	"128"	-0.885051464734987
"1826"	-0.214600151714389	0.11771728798616	Inf	1	0	0	0.265829701803185	NA	1	0	"A0A075B5N7, A0A0G2JGY3, A0A140T8M5, A0A140T8N5, A0A140T8N7, A0A140T8P1, A0A140T8Q3, P01633"	"126"	"129"	"126"	"129"	-1.44326541416512
"2585"	0.133271816903085	0.117664626662831	Inf	1	0	0	0.3488149736118	NA	1	0	"A0A075B5N7, A0A0G2JGY3, A0A140T8M5, A0A140T8N5, A0A140T8N7, A0A140T8P1, A0A140T8Q3, P01633"	"126"	"130"	"126"	"130"	1.02281462895866
"3344"	0.0764113747064439	0.117702339127655	Inf	1	0	0	0.411875470247907	NA	1	0	"A0A075B5N7, A0A0G2JGY3, A0A140T8M5, A0A140T8N5, A0A140T8N7, A0A140T8P1, A0A140T8Q3, P01633"	"126"	"131"	"126"	"131"	0.619728394958238
"309"	-0.362687814681993	0.158202070197734	Inf	1	0	0	0.180921918623526	NA	1	0	"A0A075B5N8, A0A0G2JGN0, A0A140T8P0, P01661, P01662, P01663, P01670, P01671, P01672"	"126"	"127"	"126"	"127"	-2.4930655223159
"1068"	-0.250212138889475	0.148583761649446	Inf	1	0	0	0.258131513584866	NA	1	0	"A0A075B5N8, A0A0G2JGN0, A0A140T8P0, P01661, P01662, P01663, P01670, P01671, P01672"	"126"	"128"	"126"	"128"	-1.69572039413228
"1827"	-0.219482527842639	0.148207257734565	Inf	1	0	0	0.284298626868162	NA	1	0	"A0A075B5N8, A0A0G2JGN0, A0A140T8P0, P01661, P01662, P01663, P01670, P01671, P01672"	"126"	"129"	"126"	"129"	-1.47787679829231
"2586"	0.0581510261685718	0.146825103723876	Inf	1	0	0	0.439688128830851	NA	1	0	"A0A075B5N8, A0A0G2JGN0, A0A140T8P0, P01661, P01662, P01663, P01670, P01671, P01672"	"126"	"130"	"126"	"130"	0.490279962281422
"3345"	0.107460253160261	0.147767413210832	Inf	1	0	0	0.389911626328194	NA	1	0	"A0A075B5N8, A0A0G2JGN0, A0A140T8P0, P01661, P01662, P01663, P01670, P01671, P01672"	"126"	"131"	"126"	"131"	0.839835291816406
"310"	0.0294188123217234	0.11773841781438	Inf	1	0	0	0.46583792050711	NA	1	0	"A0A075B5N8, A0A0G2JGN0, P01661, P01662, P01663"	"126"	"127"	"126"	"127"	0.286596005094311
"1069"	0.140275884369585	0.117686522113371	Inf	1	0	0	0.341305646798842	NA	1	0	"A0A075B5N8, A0A0G2JGN0, P01661, P01662, P01663"	"126"	"128"	"126"	"128"	1.07246677847928
"1828"	-0.07593233336969	0.117714467228068	Inf	1	0	0	0.412423392172824	NA	1	0	"A0A075B5N8, A0A0G2JGN0, P01661, P01662, P01663"	"126"	"129"	"126"	"129"	-0.460243008529996
