"lratio"	"variance"	"var_hat_vk"	"n.spectra"	"n.na1"	"n.na2"	"p.value.rat"	"p.value.sample"	"p.value"	"is.significant"	"ac"	"r1"	"r2"	"class1"	"class2"	"zscore"
"233"	-0.991018227687723	0.0810101769990537	2.3072456513123e-06	2	0	0	0.000248967898922507	NA	1	0	"A0A075B5J9, A0A075B5K3, A0A0G2JDN5, A0A0G2JFA8"	"126"	"127"	"126"	"127"	-5.95355473717822
"1096"	-0.742857612327532	0.107362106081093	2.41486191453772e-05	2	0	0	0.0116905620002331	NA	1	0	"A0A075B5J9, A0A075B5K3, A0A0G2JDN5, A0A0G2JFA8"	"126"	"128"	"126"	"128"	-4.47636553566428
"1959"	-0.975044259188281	0.125814509073882	Inf	1	0	0	0.00298977987168201	NA	1	0	"A0A075B5J9, A0A075B5K3, A0A0G2JDN5, A0A0G2JFA8"	"126"	"129"	"126"	"129"	-5.85846884396164
"2822"	-0.673882251297239	0.104744704811828	8.0022469651541e-08	2	0	0	0.0186630794180322	NA	1	0	"A0A075B5J9, A0A075B5K3, A0A0G2JDN5, A0A0G2JFA8"	"126"	"130"	"126"	"130"	-4.06578604730918
"3685"	-0.61473429209243	0.0841996069135163	7.44965057294494e-07	2	0	0	0.017065559487411	NA	1	0	"A0A075B5J9, A0A075B5K3, A0A0G2JDN5, A0A0G2JFA8"	"126"	"131"	"126"	"131"	-3.71370468862093
"361"	-0.85243453096024	0.121233932611838	Inf	1	0	0	0.00717836723257506	NA	1	0	"A0A075B5J9, A0A0G2JDN5"	"126"	"127"	"126"	"127"	-5.12862794525119
"1224"	-0.276377343508331	0.117458963974688	Inf	1	0	0	0.210001394882753	NA	1	0	"A0A075B5J9, A0A0G2JDN5"	"126"	"128"	"126"	"128"	-1.69961703824908
"2087"	-0.312059987977683	0.117422617030606	Inf	1	0	0	0.181233985826748	NA	1	0	"A0A075B5J9, A0A0G2JDN5"	"126"	"129"	"126"	"129"	-1.91201986863006
"2950"	-0.17528422768505	0.117142614795462	Inf	1	0	0	0.304277883485166	NA	1	0	"A0A075B5J9, A0A0G2JDN5"	"126"	"130"	"126"	"130"	-1.09785491405061
"3813"	-0.34871743329891	0.117338498044908	Inf	1	0	0	0.154335848372159	NA	1	0	"A0A075B5J9, A0A0G2JDN5"	"126"	"131"	"126"	"131"	-2.13022525269154
